id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
144,1591289692493946881,"https://twitter.com/AgilePeter/statuses/1591289692493946881","https://twitter.com/AgilePeter/statuses/1591289692493946881","AgilePeter","📣 New Podcast! ""The Long Way Around - DAY 175 - The Daily Stoic 365 Day Devotional"" on @Spreaker #stoic #stoicism #stoicwisdom #thedailystoic https://t.co/iTvAUSYaPO","📣 New Podcast! ""The Long Way Around - DAY 175 - The Daily Stoic 365 Day Devotional"" on @Spreaker #stoic #stoicism #stoicwisdom #thedailystoic https://t.co/iTvAUSYaPO","2022-11-11 23:40:02","Spreaker",2,1,"en","","original","",0,0,"",0,0,14363167,"https://pbs.twimg.com/profile_images/1367641587208114179/2F3Vh_9__normal.jpg",22760,37,85679,"2008-04-11 14:10:07","Multi-Founder & VC @ #VentureMedia👇","Not Financial Advice","",
145,1591283624435159041,"https://twitter.com/jackanthonyken/statuses/1591283624435159041","https://twitter.com/jackanthonyken/statuses/1591283624435159041","jackanthonyken","#stoicism #stoic #stoicdad #stoicmind #stoiclife #stoictraveller #blamegame #blame #blamenoone https://t.co/fB3jUL222G","#stoicism #stoic #stoicdad #stoicmind #stoiclife #stoictraveller #blamegame #blame #blamenoone https://t.co/fB3jUL222G","2022-11-11 23:15:55","Twitter for Android",4,0,"und","","original","",0,0,"",0,0,1477023791473565696,"https://pbs.twimg.com/profile_images/1497489261896949761/g6zT_Iae_normal.jpg",602,40,496,"2021-12-31 16:08:19","Not old enough to try outrageous things in life. Indulge and be happy.","Medellin, Central Visayas","",
146,1591177353358544896,"https://twitter.com/MNimprovement00/statuses/1591177353358544896","https://twitter.com/MNimprovement00/statuses/1591177353358544896","MNimprovement00","THE 4 STOIC VIRTUES:WISDOM  #selfimprovement #selfcare #motivation #stoicism https://t.co/aZfK88pxUp","THE 4 STOIC VIRTUES:WISDOM  #selfimprovement #selfcare #motivation #stoicism https://t.co/aZfK88pxUp","2022-11-11 16:13:38","Twitter Web App",0,0,"en","","original","",0,0,"",0,0,1579206327137607680,"https://pbs.twimg.com/profile_images/1586724069189320704/GJtJBFqr_normal.jpg",33,7,7,"2022-10-09 16:25:23","A clan of men on self-improvement. TikTok - MNSelfImprovement00 Instagram-mnselfimprovement000 Youtube channel -MNSelfImprovement00","","",
147,1591174216002711553,"https://twitter.com/KosmicKasey/statuses/1591174216002711553","https://twitter.com/KosmicKasey/statuses/1591174216002711553","KosmicKasey","RT @365StoicWays: Your choice…   🎉”365 WAYS TO BE MORE #STOIC” HARDBACK IS AVAILABLE NOW IN THE UK! DIGITAL AVAILABLE NOW IN THE US TOO!…","Your choice…   🎉”365 WAYS TO BE MORE #STOIC” HARDBACK IS AVAILABLE NOW IN THE UK! DIGITAL AVAILABLE NOW IN THE US TOO!   US friends, you can get this in time for the holidays if you order from Amazon UK! (official US release April 2023) https://t.co/byIdWyV1kL #stoicism #cbt https://t.co/iIfZdhKi07","2022-11-11 16:01:10","Twitter Web App",0,1,"en","","retweet","",0,0,"365StoicWays",1534566729535324161,1591172805626048512,1545609750,"https://pbs.twimg.com/profile_images/1589080659439636481/AklRxiby_normal.jpg",7307,2413,2419,"2013-06-25 08:35:37","Editor for forthcoming GN, “Verissimus”, and “365 Ways to Be More Stoic”. Creator of sci-fi series “Norah” and Viking witch horror, “Seeress”.","Metro Detroit, MI","",
148,1591172805626048512,"https://twitter.com/365StoicWays/statuses/1591172805626048512","https://twitter.com/365StoicWays/statuses/1591172805626048512","365StoicWays","Your choice…   🎉”365 WAYS TO BE MORE #STOIC” HARDBACK IS AVAILABLE NOW IN THE UK! DIGITAL AVAILABLE NOW IN THE US TOO!   US friends, you can get this in time for the holidays if you order from Amazon UK! (official US release April 2023) https://t.co/byIdWyV1kL #stoicism #cbt https://t.co/iIfZdhKi07","Your choice…   🎉”365 WAYS TO BE MORE #STOIC” HARDBACK IS AVAILABLE NOW IN THE UK! DIGITAL AVAILABLE NOW IN THE US TOO!   US friends, you can get this in time for the holidays if you order from Amazon UK! (official US release April 2023) https://t.co/byIdWyV1kL #stoicism #cbt https://t.co/iIfZdhKi07","2022-11-11 15:55:34","Twitter for iPhone",5,1,"en","","original","",0,0,"",0,0,1534566729535324161,"https://pbs.twimg.com/profile_images/1534567632489390080/_YtXM8vu_normal.jpg",57,91,78,"2022-06-08 12:03:22","The upcoming book.of daily inspiration, tools, stories to a guide you to a meaningful, happy life from CBT therapist Tim Lebon and edited by Kasey Pierce.","","",
149,1591152074519367680,"https://twitter.com/sbrebrown/statuses/1591152074519367680","https://twitter.com/sbrebrown/statuses/1591152074519367680","sbrebrown","Talking About Stoicism 200: The Stoic Challenge https://t.co/Z2fb8umURh","Talking About Stoicism 200: The Stoic Challenge https://t.co/Z2fb8umURh","2022-11-11 14:33:11","Twitter for Android",3,1,"en","","original","",0,0,"",0,0,1054872632,"https://pbs.twimg.com/profile_images/435781310779387904/bJNH4qp4_normal.jpeg",6397,93,7687,"2013-01-02 06:37:23","Psychologist, fountain pen reviewer, connoisseur of the bizarre","Red Deer, Alberta","",
150,1591142148908339200,"https://twitter.com/OfficialNID0/statuses/1591142148908339200","https://twitter.com/OfficialNID0/statuses/1591142148908339200","OfficialNID0","@dsqise I have this bookmarked in those times 🧠 https://t.co/ksR77Ylje8","@dsqise I have this bookmarked in those times 🧠 https://t.co/ksR77Ylje8","2022-11-11 13:53:44","Twitter Web App",1,0,"en","","reply","dsqise",789213373980217344,1591141439224057856,"",0,0,1456892304745189381,"https://pbs.twimg.com/profile_images/1590734000158642178/BbRc_EZr_normal.jpg",13616,658,2757,"2021-11-06 03:53:06","#Web3 Musician&Producer 🎵 EPs and Singles are released on the #Cardano blockchain. https://t.co/9NN9HWlQ5P  #MusicNFT #CNFT #ADA","Cardanoverse","",
151,1591135534822617088,"https://twitter.com/thestoicbeing/statuses/1591135534822617088","https://twitter.com/thestoicbeing/statuses/1591135534822617088","thestoicbeing","Moderation is the goal. This shows you control of your urges and the ability to say when you have had enough. Abstaining shows you’re a slave to a habit or things and can’t control yourself. Self discipline! #stoic #stoicism #Philosophy #heartattack","Moderation is the goal. This shows you control of your urges and the ability to say when you have had enough. Abstaining shows you’re a slave to a habit or things and can’t control yourself. Self discipline! #stoic #stoicism #Philosophy #heartattack","2022-11-11 13:27:28","Twitter for iPhone",0,0,"en","","original","",0,0,"",0,0,1388567222373830661,"https://pbs.twimg.com/profile_images/1591106685879336960/Lvhav4gD_normal.jpg",16,12,4,"2021-05-01 14:53:30","Taking life one step at a time, engaging your thoughts so your actions are pure.","Ancient Greece","",
152,1591125338532483072,"https://twitter.com/KathryneGerhold/statuses/1591125338532483072","https://twitter.com/KathryneGerhold/statuses/1591125338532483072","KathryneGerhold","STOIC: A practical guide to living a good life through stoicism TXSBGBX  https://t.co/qSSdiLwaBT https://t.co/VkjgumFuFD","STOIC: A practical guide to living a good life through stoicism TXSBGBX  https://t.co/qSSdiLwaBT https://t.co/VkjgumFuFD","2022-11-11 12:46:57","Twitter Web App",0,0,"en","","original","",0,0,"",0,0,1529330209211568128,"https://pbs.twimg.com/profile_images/1529330292476899329/IG_owGxg_normal.jpg",107864,1,45,"2022-05-25 01:15:16","","","",
153,1591118019299680256,"https://twitter.com/NBWBlogger/statuses/1591118019299680256","https://twitter.com/NBWBlogger/statuses/1591118019299680256","NBWBlogger","BE UNSHAKEABLE - The Ultimate Stoic Quote Collection (Powerful Narration) https://t.co/DdosaZWmTw via @YouTube #Stoicism","BE UNSHAKEABLE - The Ultimate Stoic Quote Collection (Powerful Narration) https://t.co/DdosaZWmTw via @YouTube #Stoicism","2022-11-11 12:17:52","Twitter for iPhone",2,0,"en","","original","",0,0,"",0,0,1540782502079520768,"https://pbs.twimg.com/profile_images/1540784429349699584/q7IR7g_h_normal.jpg",11214,925,462,"2022-06-25 15:43:03","Anonymous • Philosophical Artist/Writer • AKA: Zeno Matsumoto • Social Media Networking • #CO2ignArt 🕉️♏️『Road to 1M Followers = Identity Reveal』","Florida, USA","",
